Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
Buff/B_Sakuya_10Rare_0_Description,Text,,패에 있는 스킬을 사용할 수 없습니다.,Cannot use skills in hand.,手札からスキルを使用できない。,无法使用手中的技能。,无法使用手中的技能。
Buff/B_Sakuya_10Rare_0_Name,Text,,시부「프라이빗 스퀘어」,Time Sign "Private Square",時符「プライベートスクウェア」,时符「个人空间」,时符「个人空间」
Buff/B_Sakuya_10Rare_Description,Text,,,,,,
Buff/B_Sakuya_10Rare_Name,Text,,시부「프라이빗 스퀘어」,Time Sign "Private Square",時符「プライベートスクウェア」,时符「个人空间」,时符「个人空间」
Buff/B_Sakuya_12Rare_Description,Text,,"카운트다운 동안, 패시브 ""시간을 조종하는 정도의 능력"" 효과가 발동되지 않습니다; 자신의 모든 기술이 0비용이 되고, 신속, 카운트다운 1이 부여되며, 어떤 방식으로도 기술을 뽑을 수 없습니다.","During countdown, the passive effect ""Ability to Manipulate Time"" will not activate; all of your skills cost 0, gain Swiftness, countdown 1, and skills cannot be drawn by any means.",カウントダウン中、パッシブの「時間を操る程度の能力」は発動せず、自身のスキルはすべてコストが0になり、カウントダウン1と迅速を得る。またいかなる方法でもスキルを引けない。,倒计时期间，被动“操纵时间程度的能力”效果将不会发动；所有自己的技能变为0费，附加迅速、倒计时1，并且无法以任何方式抽取技能。,倒计时期间，被动“操纵时间程度的能力”效果将不会发动；所有自己的技能变为0费，附加迅速、倒计时1，并且无法以任何方式抽取技能。
Buff/B_Sakuya_12Rare_Name,Text,,「퍼펙트 메이드」,Perfect Maid,パーフェクトメイド,完美女仆,完美女仆
Buff/B_Sakuya_1_Name,Text,,광속「C. 리코셰」,Light Speed "C. Ricochet",光速「C.リコシェ」,光速「光速跃迁」,光速「光速跃迁」
Buff/B_Sakuya_3_Name,Text,,환재「클락 콥스」,Illusion Existence "Clock Corpse",幻在「クロックコープス」,幻在「钟表的残骸」,幻在「钟表的残骸」
Buff/B_Sakuya_4_Description,Text,,방해 디버프를 받으면 &a의 피해를 입습니다.,"When you are inflicted with an interference debuff, suffer &a damage.",自身が妨害デバフを受けたとき、&aのダメージを受ける。,当自身被施加干扰减益时，受到&a伤害。,当自身被施加干扰减益时，受到&a伤害。
Buff/B_Sakuya_4_Name,Text,,칼날 정지,Suspended Flying Knife,停滞-フライングナイフ,悬滞的飞刃,悬滞的飞刃
Buff/B_Sakuya_4_new_Description,Text,,"「마술」의 추가효과가 발동되거나 [시계「루나 다이얼」]을 사용할 때마다 
무작위 적에게%a(30%)의 데미지를 줍니다.","Each time you trigger the additional effect of ""Lunar Magic"" or use [Watch ""Lunar Dial""], deal %a (30%) damage to a random enemy.",<color=#4169E1>ルナマジック</color>の効果の発動または「時計-ルナダイアル」を使用するたび、ランダムな敵1体に%a(30%)のダメージを与える。,每次自己触发「月魔术」的额外效果、或使用[时计「月时计」]时，对随机敌人造成%a(30%)伤害。,每次自己触发「月魔术」的额外效果、或使用[时计「月时计」]时，对随机敌人造成%a(30%)伤害。
Buff/B_Sakuya_4_new_Name,Text,,칼날 정지,Suspended Flying Knife,停滞-フライングナイフ,悬滞的飞刃,悬滞的飞刃
Buff/B_Sakuya_5_Description,Text,,,,,,
Buff/B_Sakuya_5_Name,Text,,시부「퍼펙트 스퀘어」,Time Sign "Perfect Square",時符「パーフェクトスクウェア」,时符「完美空间」,时符「完美空间」
Buff/B_Sakuya_5_new_Description,Text,,,,,,
Buff/B_Sakuya_5_new_Name,Text,,「퍼펙트 스퀘어」,Perfect Square,パーフェクトスクウェア,完美空间,完美空间
Buff/B_Sakuya_6_0_Description,Text,,"공격을 받을 때, 사쿠야는 공격자에게 &a의 반격 피해를 입힙니다<color=#FF7A33>(공격력의 30%)</color>.
발동 후 1층을 제거합니다.","When attacked, Sakuya counterattacks the source for &a damage <color=#FF7A33>(30% of ATK)</color>. 
Removes 1 stack after triggering.","攻撃を受けたとき、咲夜が攻撃者に&a<color=#FF7A33>(攻撃力の30%)</color>で反撃を行う。
効果発動時、ストックが1減少する。","受到攻击时，咲夜会对来源进行一次&a伤害的反击<color=#FF7A33>(攻击力的30%)</color>。
触发后移除一层。","受到攻击时，咲夜会对来源进行一次&a伤害的反击<color=#FF7A33>(攻击力的30%)</color>。
触发后移除一层。"
Buff/B_Sakuya_6_0_Name,Text,,환혹 효과,Illusion Effect,幻惑ミスディレクション,幻惑效应,幻惑效应
Buff/B_Sakuya_6_Description,Text,,"다른 아군이 기술의 대상으로 선택될 때, 대상을 자신으로 변경합니다.
발동 후 1층을 제거합니다.","When another ally is targeted by a skill, redirect the target to yourself. 
Removes 1 stack after triggering.","他の味方がスキルの対象になったとき、その対象を自身に変更する。
効果発動時、ストックが1減少する。","其他友军被选定为技能的目标时，使目标改为指向自己。
触发后移除一层。","其他友军被选定为技能的目标时，使目标改为指向自己。
触发后移除一层。"
Buff/B_Sakuya_6_Name,Text,,오도 효과,Misdirection Effect,トンネルエフェクト,误导效应,误导效应
Buff/B_Sakuya_8_Name,Text,,특제 초시계,Special Stopwatch,特製ストップウォッチ,特制秒表,特制秒表
Buff/B_Sakuya_9_Name,Text,,출혈,Bleeding,出血,流血,流血
Buff/B_Sakuya_Knife_Description,Text,,"현재 쌓인 비도 수: &a
각 비도는 5%의 치명타율과 회피율을 제공합니다.
치명타 피해를 입히거나 회피할 때, 비도 1개를 소모하여 추가 공격을 한 번 더 가해 &a의 피해를 입힙니다<color=#FF7A33>(공격력의 30%)</color>.","Current accumulated daggers: &a. 
Each dagger grants 5% Critical rate and Evasion. 
When dealing Critical damage or evading, consume 1 dagger to perform a Follow-up attack dealing &a damage <color=#FF7A33>(30% of ATK)</color>.","現在のフライングナイフの数：&a
フライングナイフの数1つにつき、クリティカル率と回避率が5%増加する。
クリティカルまたは攻撃を回避したとき、フライングナイフを1つ消費して&a<color=#FF7A33>(攻撃力の30%)</color>のダメージを与える。","当前积攒的飞刀数：&a
每把飞刀提供5%暴击率和闪避率。
造成暴击伤害或闪避时，消耗1把飞刀，额外进行一次追加攻击，造成&a伤害<color=#FF7A33>(攻击力的30%)</color>。","当前积攒的飞刀数：&a
每把飞刀提供5%暴击率和闪避率。
造成暴击伤害或闪避时，消耗1把飞刀，额外进行一次追加攻击，造成&a伤害<color=#FF7A33>(攻击力的30%)</color>。"
Buff/B_Sakuya_Knife_Name,Text,,<color=#EEE9E9>시간 정지 비도</color>,<color=#EEE9E9>Time-Stop Dagger</color>,<color=#EEE9E9>時間停止-フライングナイフ</color>,<color=#EEE9E9>时停飞刀</color>,<color=#EEE9E9>时停飞刀</color>
Buff/B_Sakuya_LucyD_2_Description,Text,,치명타 또는 회피를 발동할 때 기술 1개를 뽑습니다(최대 4회 발동).,Draw 1 skill when triggering Critical or Evasion (max 4 triggers).,クリティカルまたは攻撃を回避したとき、スキルを1枚引く。(最大4枚)。,触发暴击或闪避时抽取1个技能（最多触发4次）。,触发暴击或闪避时抽取1个技能（最多触发4次）。
Buff/B_Sakuya_LucyD_2_Name,Text,,팽창 공간,Expanding Space,インフレーションスクウェア,膨胀空间,膨胀空间
Buff/B_Sakuya_P_0_Description,Text,,"4중첩 시, [시계「루나 다이얼」]을 1장 패에 추가합니다.","Every 4 stacks, add 1 [Watch ""Lunar Dial""] to your hand.",ストックが4になるたび、「時計-ルナダイアル」を手札に1枚加える。,每叠加4层，将1张“时计「月时计」”加入手中。,每叠加4层，将1张“时计「月时计」”加入手中。
Buff/B_Sakuya_P_0_Name,Text,,시간정지,<color=#00BFFF>Time Stop</color>,<color=#00BFFF>タイムストップ</color>,<color=#00BFFF>时钟停摆</color>,<color=#00BFFF>时钟停摆</color>
Buff/B_Sakuya_P_Description,Text,,행동불가,Cannot take action.,行動不能。,无法行动。,无法行动。
Buff/B_Sakuya_P_Name,Text,,「루나 다이얼」,Lunar Dial,ルナダイアル,月时计,月时计
Character/IzayoiSakuya_CampSelectWord,Text,,이곳의 「시간」은 이상하군요. 제가 해결해 드릴까요?,The flow of "Time" here is distorted. Shall I fix it?,ここは「時間」がずれていますね。直しましょうか？,这个地方的「时间」不对劲哟。要我帮你解决吗？,这个地方的「时间」不对劲哟。要我帮你解决吗？
