Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Feiyap_0_Description,Text,,턴 종료 시 1중첩 제거,Removed 1 stack at the end of each turn.,ターン終了時、この強化効果を1層解除する。,回合结束时，移除 1 层该增益效果。,回合結束時減少 1 層。
Buff/B_Feiyap_0_Name,Text,,칼날처럼 흐르는 피,Bleed Like Flowing Blades,血は刃の如し,血似刃流,血似刃流
Buff/B_Feiyap_1_Description,Text,,,,,,
Buff/B_Feiyap_1_Name,Text,,내면의 불꽃,Burning Within,体内灼焼,体内灼烧,體内灼燒
Buff/B_Feiyap_5_Description,Text,,다른 유닛의 치유 효과를 받을 수 없음,Cannot receive any healing effects from other units.,他ユニットからのあらゆる治療効果を受け付けない。,不会被施加任何来自其他单位的治疗效果。,不會被施加任何來自其他單位的治療效果。
Buff/B_Feiyap_5_Name,Text,,외로운 제비의 시선,Lone Swallow's Glance,孤燕の一瞥,孤燕之瞥,孤燕之瞥
Buff/B_Feiyap_6_Description,Text,,"고통 피해로 사망하지 않음<BR>이 캐릭터가 사용하는 스킬은 비용이 0이며, &a의 고통 피해를 받음<BR>트리거될 때마다 피해량이 2배로 증가함","Cannot faint due to <color=purple>Pain damage</color>.
The skills played <b>by this character</b> costs 0, but take <color=purple>&a Pain Damage</color>. Each trigger doubles this Pain Damage.","<color=purple>苦痛ダメージ</color>によって戦闘不能にならない。
自身のスキル発動は法力消費なし。ただし、<color=purple>&aの苦痛ダメージ</color>を受ける。この苦痛ダメージは発動するたびに倍増する。","不会因为受到<color=purple>痛苦伤害</color>导致死亡。
释放自身的技能不消耗法力值，但会受到<color=purple> &a 点痛苦伤害</color>。每次触发使该痛苦伤害翻倍。","不會因為受到<color=purple>痛苦傷害</color>導致無法戰鬥。
自身的技能費用變為 0 點，但使用自身的技能會受到<color=purple> &a 點痛苦傷害</color>；每次觸發後，該傷害翻倍。"
Buff/B_Feiyap_6_Name,Text,,신성으로 승화,Ascend to Divinity,神となる,化身成神,化身成神
Buff/B_Feiyap_7_Description,Text,,다음 공격을 회피함<BR>회피 시 &a 피해(공격력의 100%)로 반격하고 ‘내면의 불꽃’ 1중첩을 부여함<BR>트리거 후 제거됨,"Evade the next attack.
When triggering Dodge, counter for &a damage (100% of Attack Power) and apply 1 stack of 'Burning Within'.
Remove after triggering.","次に受ける攻撃を回避する。
回避発動時、反撃を1回行い、&aダメージ<color=#FF7A33>(攻撃力の100%)</color>を与え、かつ「体内灼焼」を1層付与する。
発動後解除される。","闪避下 1 次受到的攻击。
触发闪避时，进行一次反击，造成&a伤害<color=#FF7A33>(攻击力的100%)</color>，并施加 1 层“体内灼烧”。
触发后解除。","閃避一次攻擊。
觸發閃避時反擊：造成&a點傷害<color=#FF7A33>(攻擊力的100%)</color>，並施加 1 層體内灼燒減益。
觸發後解除。"
Buff/B_Feiyap_7_Name,Text,,환상의 달빛,Illusory Moon,鏡花水月,镜花水月,鏡花水月
Buff/B_Feiyap_Rare_1_Description,Text,,"아군이 적의 스킬 대상이 될 경우, 자신이 대신 맞습니다<BR>버프 지속 중 '비야 유파' 효과가 2배가 됩니다<BR>버프 해제 시 받은 피해 횟수만큼 무작위 적에게 &a 피해<BR>현재 피해 횟수: &b","When other allies are targeted by enemy skills, redirects the target to oneself.
While the buff is active, the effect of the passive 'Feiyap Style' is doubled.
When the buff removes, attacks random enemies based on the number of times damage was taken during the buff, dealing &a damage per hit <color=#FF7A33>(100% of Attack Power)</color>.
Current number of damage taken: &b","他の味方が敵スキルの対象に選ばれた時、自身を対象に変更する。
強化持続期間中、パッシブ「緋夜流」の効果が倍増する。
強化解除時、効果期間中に自身が受けたダメージの回数に応じて、ランダムな敵に追加攻撃を行う。1回につき&aダメージ<color=#FF7A33>(攻撃力の100%)</color>を与える。
現在の被ダメージ回数：&b","其他友军被选定为敌方技能的目标时，使目标改为指向自己。
增益持续期间，被动“绯夜流”的效果翻倍。
增益解除时，依据增益期间自身受到伤害的次数，对随机敌人追加攻击，每次造成&a伤害<color=#FF7A33>(攻击力的100%)</color>。
当前受到伤害的次数：&b","被動能力「緋夜流」的效果翻倍。
當其他友軍成為敵人技能的唯一目標時，使其目標變為自身。
解除時，根據此增益存在期間自身受到傷害的次數發起追加攻擊，每次對隨機敵人造成&a點傷害<color=#FF7A33>(攻擊力的100%)</color>。
已記錄次數：&b"
Buff/B_Feiyap_Rare_1_Name,Text,,피의 갈망,Bloodthirst,渇血症,渴血症,渴血症
Buff/B_Feiyap_Rare_2_Description,Text,,,,,,
Buff/B_Feiyap_Rare_2_Name,Text,,열적사,Heat Death,熱寂,热寂,熱寂
Buff/B_Feiyap_Rare_3_Description,Text,,"소모된 체력 비율에 따라 공격력이 상승합니다. 최대 300%까지 상승합니다.

<color=#919191><i>무관왕에게 경의를 표합니다.</i></color>","Attack Power increases based on current lost health. (Max 300%)

<color=#919191><i>Salute to the Uncrowned King.</i></color>","失った体力値のパーセンテージに応じて、攻撃力が上昇する。最大300%まで上昇。

<color=#919191><i>無冠の王へ敬意を表して。</i></color>","根据已损失的体力值百分比，获得攻击力提升。最多提升300%。

<color=#919191><i>向无冕之王致敬。</i></color>","根據自身已損失的體力值提升攻擊力，最多增加 300%。

<color=#919191><i>向無冕之王致敬。</i></color>"
Buff/B_Feiyap_Rare_3_Name,Text,,신의 힘,God Strength,神の力,神之力量,神之力量
Character/Feiyap_CampSelectWord,Text,,"안녕하세요, 루시 양. 저는 비야입니다. 전장으로 데려가 주세요.","Greetings, Miss Lucy. I am Feiyap. Take me to the battlefield.",どうも、はじめまして、ルーシーさん。緋夜氏です。戦場へとお連れください。,您好，露西小姐。在下绯夜氏。带我上战场吧。,您好，露西小姐。在下緋夜氏。帶我上戰場吧。
Character/Feiyap_PassiveDes,Text,,"비야가 치유 게이지 보호 상태일 경우, 피해량의 25%를 회복합니다.","If Feiyap has Healing Gauge Protection, She would heal 25% of her damage.",自身に回復ゲージ保護が存在する場合、攻撃で与えるダメージの25%が自身の治療に転化する。,自身拥有保护体力极限时，攻击造成伤害的25%转化为对自身的治疗。,緋夜氏有保護體力極限時，攻擊造成傷害的25%轉化為對自身的治療。
Character/Feiyap_PassiveName,Text,,비야 유파,Feiyap Style,緋夜流,绯夜流,緋夜流
Character/Feiyap_SelectInfo,Text,,"수많은 세계의 파편 속에서, 그녀는 ‘비야’라는 이름의 방주 조사관이 되기를 선택했다.<BR>비야는 ‘페이세이 이치몬지’라는 이름의 카타나를 휘두르는 독학 무사다. 그 검에는 죽음의 기운과 마력이 깃들어 있어, 적을 태우거나 또 다른 타치로 형상화해 사용할 수 있다. 그녀에게 뒤틀린 땅은 단지 또 하나의 참혹한 전장일 뿐이다.<BR><BR>하지만 가끔, 그 수많은 파편 속에서 ‘또 다른 가능성’을 받아들인 ‘비야’의 모습이 스쳐 지나간다.","Among the countless shattered fragments of worlds, she chose to become the 'Feiyap' who is an Ark Investigator.
Feiyap is a self-taught warrior wielding a Katana named 'Feisei Ichimonji'. The blade harbors deathly energy and magic, granting her the ability to manipulate azure flames—capable of burning enemies or materializing into another tachi for her use. To her, the Twisted Lands are merely another battlefield where she can sever heads.

Yet occasionally, within the countless shattered fragments of worlds, a glimpse reveals a 'Feiyap' who might have embraced 'Another Possibility'.","無数に砕け散った世界の破片の中から、方舟調査員となった「緋夜氏」を選び取った。
緋夜氏は、「緋生一文字」と名付けられた一振りの太刀を駆る我流の武士である。太刀に宿る死気と魔力は、彼女に蒼炎を操る能力をもたらした。これにより敵を灼きながら、さらにその炎を幻のようにもう一振りの太刀へと形作り、遣いまわすことができる。彼女にとって、歪みの地は、ただもう一つの首を刎ねる野原の戦場へと赴く場に過ぎない。

ただ偶に、無数に砕けた世界の破片の中での一瞥において、彼女は「もう一つの可能性」を帯びた「緋夜氏」を垣間見るかのようだった。","于万千碎裂的世界破片中，选择成为了方舟调查员的那一个“绯夜氏”。
绯夜氏是役使着一柄名为“绯生一文字”的太刀的我流武士。太刀上寄宿着的死气与魔力给予了她操纵苍蓝色火焰的能力，不仅能够灼伤敌人，还能够幻形成为另一柄太刀、供她驱使。对她而言，扭曲之地只不过是奔赴另一个砍下头颅的野原战场而已。

只是偶尔，于万千碎裂的世界破片中的一瞥，似乎得以窥见“另一种可能性”的“绯夜氏”。","於萬千碎裂的世界破片中，選擇成為了方舟調查員的那一個「緋夜氏」。
緋夜氏是役使著一柄名為「緋生一文字」的太刀的我流武士。太刀上寄宿著的死氣與魔法給予了她操縱蒼藍色火焰的能力，不僅能夠灼傷敵人，還能夠幻形成為另一柄太刀供她驅使。
對她而言，扭曲之地只不過是奔赴另一個砍下頭顱的野原戰場而已。

只是偶爾，於千萬碎裂的世界破片中的一瞥，似乎得以窺見「另一種可能性」的「緋夜氏」。"
Character/Feiyap_Text_Battle_AllyND_0,Text,,죽기 전에 죽지 마라,Don't die before me.,私より先に死んではいけない。,可别死在我之前。,可别死在我之前。
Character/Feiyap_Text_Battle_Cri_0,Text,,받아라!,Take this!,喰らえ！,接招！,接招！
Character/Feiyap_Text_Battle_Cri_1,Text,,빈틈이다!,An opening!,隙あり！,有破绽！,有破綻！
Character/Feiyap_Text_Battle_Cri_2,Text,,네 머리… 내가 가져간다!,Your head—I'll take it!,その首、頂く！,你的头颅、我收下了！,你的頭顱，我收下了！
Character/Feiyap_Text_Battle_Healed_0,Text,,몸 둘 바를 모르겠군…,With utmost reverence...,恐れ多いことです。,诚惶诚恐。,誠惶誠恐。
Character/Feiyap_Text_Battle_Healed_1,Text,,나 같은 자에게 신경 쓰지 않아도 돼…,You don't need to bother for someone like me...,私のような者のためになど……,不必为了我这种人……,不必為了我這種人……
Character/Feiyap_Text_Battle_Idle_0,Text,,음? 왜 그래? 왜 아직 베지 않는 거지?,Hm? What's wrong? Why aren't you cutting them down?,ん？どうした？なぜまだ斬りに行かぬ？,嗯？怎么了？为什么还不去砍人？,嗯？怎麼了？為什麼還不去砍人？
Character/Feiyap_Text_Battle_Idle_1,Text,,"복잡하게 생각하지 마. 그냥 베고, 다치면 돼—그게 전부야.","Don't overthink it. Just cut them down, then get hurt—that's all.",考えることは無用だ。斬り、そして傷つけよ。それでよい。,不需要想来想去的。去砍人、然后去受伤，就可以了。,不需要想來想去的。去砍人、然後去受傷，就可以了。
Character/Feiyap_Text_Battle_Kill_0,Text,,쓰러뜨렸다.,I've take you down.,その血、頂く。,你的血、我收下了。,你的血，我就收下了。
Character/Feiyap_Text_Battle_Kill_1,Text,,내 검에 죽는 건 너의 영광이다.,To die by my blade is your honor.,我が斬撃に散るは、貴様の誉れ。,被我斩死，是你的荣耀。,被我斬死，是你的榮耀。
Character/Feiyap_Text_Battle_ND_0,Text,,나는… 시들어버리는 걸까…?,Will I... wither away...?,私は……散りゆくのか……？,我会……凋零吗……？,我會……凋零嗎……？
Character/Feiyap_Text_Battle_ND_1,Text,,아아… 드디어 끝이 오는구나…,Ahh... my ending has finally come...,ああ、ついに我も……,啊啊、我终于也要……,啊啊、我終於也要……
Character/Feiyap_Text_Battle_Start_0,Text,,"안녕하세요. 저는 비야입니다. 자, 죽게 해주세요.","Greetings. I am Feiyap. Please, let me kill you.",どうも。緋夜氏です。どうか貴方を斬らせてください。,您好。在下绯夜氏。请让我杀了你吧。,您好。在下緋夜氏。請讓我殺了你吧。
Character/Feiyap_Text_Battle_Start_1,Text,,"무명이며 무의미, 붉은 생의 문장.","Nameless and purposeless, the crimson word.",名も無く為すことも無し、緋生の文字。,无名亦无为，绯生之文字。,無名亦無為，緋生之文字。
Character/Feiyap_Text_Field_GetItem_0,Text,,"오호, 가치야 모르겠지만 좋은 물건이겠지?","Oho, though I don't know its value, this must be something good, right?",おお、この物の価値はよく分からぬが、きっと良いものなのだろう？,哦哦，虽然不清楚这东西的价值，不过应当是好东西吧？,哦哦，雖不清楚這東西的價值，不過應該是好東西吧？
Character/Feiyap_Text_Field_Idle_0,Text,,왜 그래? 쉬고 싶어? 내가 망을 볼게.,What's wrong? Need a break? I'll keep watch.,どうした、少し休みたいか？見張りは在下が務めよう。,怎么了，想休息一下吗？在下来放风吧。,怎麼了，想休息一下嗎？在下來放風吧。
Character/Feiyap_Text_MasterTarget,Text,,무사로서 전장에서 죽는 것이 최고의 영광이다.,"As a warrior, dying on the battlefield is my greatest honor.",武士たるもの、戦場で死ねるのは、至上の誉れです。,身为武士，能够死在战场上，是在下莫大的荣耀。,身為武士，能夠死在戰場上，是在下莫大的榮耀。
Character/Feiyap_Text_PharosLeader_0,Text,,전장… 그리운 고향이군…,The battlefield... my nostalgic homeland...,戦場よ……懐かしき故郷よ……,战场……令人怀念的故乡啊……,戰場……令人懷念的故鄉啊……
Character/Feiyap_Text_PharosLeader_1,Text,,이번엔… 몇 명을 베었지…?,How many... have I killed again...?,我は……また何人斬ったのだ……,我又……杀死了多少人……,我又……殺死了多少人……
Character/Feiyap_Text_PharosLeader_2,Text,,적장의 머리… 내가 베었다!,The enemy general's head—I've taken it!,敵将の首、討ち取ったり――！,敌将的头颅、已被我砍下——！,敵將的頭顱，已被我砍下──！
Character/Feiyap_Text_Witch_0,Text,,"아아, 저주 따위… 자주 보지.","Ahh, curses... I've seen it many times.",ああ、诅咒など、日常茶飯事よ。,啊啊、诅咒什么的，常有的事。,啊啊，詛咒什麼的，常有的事。
Character/Feiyap_Text_Witch_1,Text,,"뼈까지 얼어붙는 느낌이군… 괜찮아, 덤벼라.","My bones feel frozen... no matter, give it to me.",骨も凍るようだ。構わぬ、来い。,骨头仿佛也要冻上了。没关系，来吧。,骨頭彷彿也快凍僵了。沒關係，來吧。
Character/Feiyap_name,Text,,비야,Feiyap,緋夜氏,绯夜氏,緋夜氏
Character_Skin/FeiyapCoffee_SkinDesc,Text,,"수많은 세계의 파편 속에서, 그녀는 사무직 ‘비야’가 되기를 선택했다<BR>지극히 평범한 소녀는 그저 느긋한 오후를 즐기며 모든 업무를 뒤로한 채 여유를 누리고 있다","Among the countless shattered fragments of worlds, she chose to become the 'Feiyap' who is an office worker.
An utterly ordinary girl, simply enjoying a leisurely afternoon, casting all work aside.","無数に砕けた世界の破片の中で、会社員となった「緋夜氏」。
ごく平凡な少女は、ただ心安らぐ午後の時間を楽しみ、仕事など全て忘れ去ろうとする。","于万千碎裂的世界破片中，选择成为了白领的那一个“绯夜氏”。
平庸至极的少女，只是享受着惬意的午后时间，将工作什么的全部抛至脑后吧。","於萬千碎裂的世界破片中，選擇成為了白領的那一個「緋夜氏」。
平庸至極的少女，只是享受著愜意的午後時間，將工作什麼的全部拋至腦後吧。"
Character_Skin/FeiyapCoffee_SkinName,Text,,오후의 커피,Afternoon Coffee,午後のコーヒー,午后咖啡,午後咖啡
Character_Skin/FeiyapMaid_SkinDesc,Text,,"수많은 세계의 파편 속에서, 그녀는 메이드 ‘비야’가 되기를 선택했다<BR>그 단아하고 고결한 외모 속에 감춰진 것은 꿀인가, 아니면 날카로운 칼날인가?<BR>그 답은 오직 그녀가 섬기는 주인만이 알고 있을지도♥","Among the countless shattered fragments of worlds, she chose to become the 'Feiyap' who is a maid.
What is hidden with her virtuous and dignified appearance, honey or a sharp blade?
Perhaps only her master knows the answer♥","無数に砕けた世界の破片の中で、メイドとなった「緋夜氏」。
その淑やかで端正な外見の下に隠されているのは、蜜なのか、それとも刃なのか？
彼女が仕える主のみが知るのであろう♥","于万千碎裂的世界破片中，选择成为了女仆的那一个“绯夜氏”。
自那贤淑端庄的外表之下，隐藏着的究竟是蜜糖呢，还是利刃呢？
或许只有她效忠的主人才知道吧♥","於萬千碎裂的世界破片中，選擇成為了女僕的那一個「緋夜氏」。
在那賢淑端莊的外表之下，隱藏著的究竟是蜜糖，還是利刃呢？
或許只有她效忠的主人才會知道吧♥"
Character_Skin/FeiyapMaid_SkinName,Text,,달콤한 메이드,Sweet Maid,スイートメイド,甜心女仆,甜心女僕
Character_Skin/FeiyapMaster_SkinDesc,Text,,"수많은 세계의 파편 속에서, 그녀는 검술의 대가 ‘비야’가 되기를 선택했다<BR>수천 번의 참격이 찰나에 끝나고, 이어지는 것은 영원을 삼키는 죽음의 일격<BR>이제 대가의 분노를 맞이할 준비를 하라","Among the countless shattered fragments of worlds, she chose to become the 'Feiyap' who is a Swordmaster.
Thousands of slashes completed in an instant, followed by an eternal, devouring strike of death.
Prepare to face the master's wrath.","無数に砕けた世界の破片の中で、剣道の達人となった「緋夜氏」。
千の斬撃は一瞬で成し、続くは永遠を飲み込む死の一撃。
達人の怒りを受けるがいい。","于万千碎裂的世界破片中，选择成为了剑道宗师的那一个“绯夜氏”。
数千次斩击于霎那间完成，接下来是吞噬了永恒的死亡一击。
准备迎接宗师之怒吧。","於萬千碎裂的世界破片中，選擇成為了劍道宗師的那一個「緋夜氏」。
數千次斬擊於剎那間完成，接下來是吞噬了永恆的死亡一擊。
準備迎接宗師之怒吧。"
Character_Skin/FeiyapMaster_SkinName,Text,,검술 대가의 위엄,Swordmaster's Might,宗師の威光,宗师之威,宗師之威
Item_Equip/E_Feiyap_0_Description,Text,,,,,,
Item_Equip/E_Feiyap_0_name,Text,,페이세이 이치몬지,Feisei Ichimonji,緋生一文字,绯生一文字,緋生一文字
