Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Character/Jhin_Text_Battle_Cri_0,Text,,,,,微笑各位，微笑。,
Character/Jhin_Text_Battle_Cri_1,Text,,,,,优秀不值一提，我必须达到完美。,
Character/Jhin_Text_Battle_Idle_0,Text,,,,,简而言之，我扣扳机，他们跳舞。,
Character/Jhin_Text_Battle_Kill_0,Text,,,,,死是必然，但杀戮并不一定丑陋。,
Character/Jhin_Text_Battle_Kill_1,Text,,,,,死亡不是匆匆过场，而是一部歌剧。,
Character/Jhin_Text_Battle_Kill_2,Text,,,,,他们会跳，他们会唱，他们会死。,
Character/Jhin_Text_Battle_Start_0,Text,,,,,我们的演出开始了。,
Character/Jhin_Text_Battle_Start_1,Text,,,,,让我们开场吧。,
Character/Jhin_Text_Battle_Start_2,Text,,,,,我的观众，已经入场。,
Character/Jhin_Text_Field_Idle_0,Text,,,,,我与杀戮之中盛放，亦如黎明中的花朵。,
Character/Jhin_Text_MasterTarget,Text,,,,,这个舞台被我的才华踩在了脚下，但我也把它，带到了新的高度。,
Character/Jhin_Text_PharosLeader_0,Text,,,,,他们叫我疯子，艺术家都是疯子。,
Character/Jhin_Text_PharosLeader_1,Text,,,,,一身戏服，几点浓妆，一泼鲜血。,
Character/Jhin_Text_PharosLeader_2,Text,,,,,笑一个吧，大家都在看着呢。,
Character/Jhin_Text_Witch_0,Text,,,,,我热爱表演，但我讨厌人群。,
Character/Jhin_Text_Witch_1,Text,,,,,此等丑陋，我无法忍受。,
