Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Buff/B_Sanae_2_Name,Text,,,Wonder of U,ワンダー·オブ·U,奇迹于你,
Buff/B_Sanae_5_Description,Text,,,,,,
Buff/B_Sanae_5_Name,Text,,,East Wind's Caress,東風が撫でる,东风轻抚,
Buff/B_Sanae_Rare10_Description,Text,,,"All 0-cost skills in hand gain Swiftness, dealing &a(20%) additional damage or &b(20%) additional healing.",手札のコスト0のスキルはすべて迅速を得て、&a(20%)のダメージか&b(20%)の回復を追加で与える。,手中所有的0费技能获得迅速，造成&a(20%)额外伤害或&b(20%)额外治疗。,
Buff/B_Sanae_Rare10_Name,Text,,,Miracle of Sea,海が割れる奇跡,开海的奇迹,
Buff/B_Sanae_Rare12_Description,Text,,,All [Wind Spirit] in hand gain +100% critical rate.,手札にあるすべての「風の精霊」と「東風の精霊」のクリティカル率+100%。,使手中所有[风灵]的暴击率+100%。,
Buff/B_Sanae_Rare12_Name,Text,,,Miracle of Wind,神風の奇跡,神风的奇迹,
Character/KochiyaSanae_CampSelectWord,Text,,,"As a human god, I'm still in training, and I strive toward Kanako-sama and Suwako-sama as my goals.",私も現人神として修行中ですが、神奈子様と諏訪子様を目標に頑張っています。,作为现人神我尚在修行，我会以神奈子大人和诹访子大人为目标努力向上。,
Character/KochiyaSanae_PassiveDes,Text,,,"<b>Faith is for the unreal</b> - At the start of each turn, generate 1 [East Wind Spirit].

<b>Miracle Level Ability</b> - Every 4 uses of 0-cost skills restore 1 mana.

<b><color=green>Combo X</color></b> - When the number of skills used in a turn exceeds X, additional effects can be triggered.","<b>信仰は儚き人間の為に</b> - 毎ターン開始時、「東風の精霊」を1枚手札に生成する。

<b>奇跡を起こす程度の能力</b> - 自身のコスト0のスキルを4回使用するたび、マナを1回復する。

<b><color=green>コンボX</color></b> - 1ターン中にX回以上のスキルを使用時、追加効果が発動する。","<b>信仰是为了虚幻之人</b> - 每个回合开始时，生成1个[东风灵]。

<b>引发奇迹程度的能力</b> - 每使用4个0费的技能，获得1点法力值。

<b><color=green>连击X</color></b> - 每个回合中使用过的技能大于X个时，可以触发额外效果。",
Character/KochiyaSanae_PassiveName,Text,,,Worshipped by the Wind,祀られる風の人間,被祭拜的风之人,
